Field_1,Grouping_sku_name_new,volume_bottle_per_POS_month_imp,Brand_Group_Final,Producer,Material,Flavor,Multiserve_Flag,Sugar_Level,Category,Size_Group,Price_Lit_Group
76,JUG+NECT+BEB.REF+NAR+SOYAS NARANJADAS JUMEX JUMEX FRESH BOTELLA 1501 - 2000,3995,JUMEX,JUMEX,BOTELLA,0,PERSONAL,0,NARANJADAS,1501 - 2000,11 a 18
77,JUG+NECT+BEB.REF+NAR+SOYAS NARANJADAS JUMEX JUMEX FRESH BOTELLA 351 - 500,581.666667,JUMEX,JUMEX,BOTELLA,0,PERSONAL,0,NARANJADAS,351 - 500,6 a 10
78,JUG+NECT+BEB.REF+NAR+SOYAS NARANJADAS JUMEX JUMEX FRESH BOTELLA 501 - 750,1555,JUMEX,JUMEX,BOTELLA,0,PERSONAL,0,NARANJADAS,501 - 750,6 a 10
79,JUG+NECT+BEB.REF+NAR+SOYAS NARANJADAS PASTEURIZADORA LA LAGUNA LALA AQUA FRUT BOTELLA 1501 - 2000,1113.333333,LALA AQUA FRUT,PASTEURIZADORA LA LAGUNA,BOTELLA,0,PERSONAL,0,NARANJADAS,1501 - 2000,11 a 18
80,JUG+NECT+BEB.REF+NAR+SOYAS NARANJADAS PASTEURIZADORA LA LAGUNA LALA AQUA FRUT BOTELLA 2001 O MAS,3372,LALA AQUA FRUT,PASTEURIZADORA LA LAGUNA,BOTELLA,0,FAMILIAR,0,NARANJADAS,2001 O MAS,19 a 207
81,JUG+NECT+BEB.REF+NAR+SOYAS NARANJADAS PASTEURIZADORA LA LAGUNA LALA AQUA FRUT BOTELLA 751 - 1000,3285,LALA AQUA FRUT,PASTEURIZADORA LA LAGUNA,BOTELLA,0,PERSONAL,0,NARANJADAS,751 - 1000,6 a 10
82,JUG+NECT+BEB.REF+NAR+SOYAS NARANJADAS PASTEURIZADORA LA LAGUNA LALA AQUA FRUT CARTON 351 - 500,483.333333,LALA AQUA FRUT,PASTEURIZADORA LA LAGUNA,CARTON,0,PERSONAL,0,NARANJADAS,351 - 500,1 a 5
83,JUG+NECT+BEB.REF+NAR+SOYAS NARANJADAS PASTEURIZADORA LA LAGUNA LALA AQUA FRUT CARTON 751 - 1000,230,LALA AQUA FRUT,PASTEURIZADORA LA LAGUNA,CARTON,0,PERSONAL,0,NARANJADAS,751 - 1000,11 a 18
84,JUG+NECT+BEB.REF+NAR+SOYAS SOYAS JUGO COCA COLA ADES CARTON 181 - 250,1100,ADES,COCA COLA,CARTON,0,PERSONAL,0,SOYAS JUGO,181 - 250,1 a 5
85,JUG+NECT+BEB.REF+NAR+SOYAS SOYAS JUGO COCA COLA ADES CARTON 251 - 350,1925,ADES,COCA COLA,CARTON,0,PERSONAL,0,SOYAS JUGO,251 - 350,6 a 10
86,JUG+NECT+BEB.REF+NAR+SOYAS SOYAS JUGO COCA COLA ADES CARTON 751 - 1000,1610,ADES,COCA COLA,CARTON,0,PERSONAL,0,SOYAS JUGO,751 - 1000,11 a 18
87,JUG+NECT+BEB.REF+NAR+SOYAS SOYAS JUGO UNILEVER ADES CARTON 181 - 250,372.5,ADES,UNILEVER,CARTON,0,PERSONAL,0,SOYAS JUGO,181 - 250,1 a 5
88,JUG+NECT+BEB.REF+NAR+SOYAS SOYAS JUGO UNILEVER ADES CARTON 251 - 350,397.5,ADES,UNILEVER,CARTON,0,PERSONAL,0,SOYAS JUGO,251 - 350,1 a 5
89,JUG+NECT+BEB.REF+NAR+SOYAS SOYAS JUGO UNILEVER ADES CARTON 751 - 1000,1025,ADES,UNILEVER,CARTON,0,PERSONAL,0,SOYAS JUGO,751 - 1000,11 a 18
